#Mean Date Relative Position Error Ellipse
#(UT)     East North Major Minor P.A. Major
#        (mas) (mas) (mas) (mas) (E of N)
52807.2  5.70 -11.31 0.87 0.30 -86.
53150.2  6.87 -11.33 0.34 0.11 -61.
53536.2  7.36 -10.16 0.37 0.11 -57.
53969.2  6.97  -7.14 4.85 0.26 112.
54263.2  5.73  -4.18 1.25 0.10 -28.
54634.2  3.51  -0.76 0.11 0.05  51.
55005.2  0.86  -5.46 0.70 0.13 -47.
55729.4  5.91 -11.60 0.22 0.06 342.
58417.1  4.77 -10.92 0.06 0.06 0.   
58665.350  6.01754877675788  -11.544845937444970 0.0030 0.0014 173.1
